,address,address_rus,atm_group,id,isTrain,lat,long,target
0,"EMELYANOVA,34          Y-SAKHALINSK   ","улица А.О. Емельянова, 34, Южно-Сахалинск, Сахалинская область, Россия",32.0,8526.0,True,46.940995,142.738319,0.011499820918204876
1,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",32.0,8532.0,True,46.937353,142.753348,0.029710265035085937
2,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",32.0,8533.0,True,46.959413,142.74111299999998,0.009539960883255441
3,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",32.0,8684.0,True,55.805827,37.515146,-0.09403462447649943
4,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",32.0,37.0,True,69.343541,88.211228,0.07927735200966299
5,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",32.0,313.0,True,43.165859999999995,131.90821200000002,-0.14500123147475488
6,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",32.0,335.0,True,55.716859,37.613063000000004,-0.02468223523576437
7,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",32.0,358.0,True,43.117174,131.885503,-0.13342588349623222
8,Zhivopisnaia 136       d.Velednikov   ,"деревня Веледниково, городской округ Истра, Московская область, Россия",32.0,2895.0,True,55.799765,37.116015999999995,0.14146935333316155
9,BEKESHSKAYA 39            PENZA       ,"Бекешская улица, 39, Пенза, Россия, 440018",496.5,1975.0,True,53.203219999999995,44.978826,0.01725893326633763
10,B.MOSKOVSKAYA 90A         VLADIMIR    ,"Большая Московская улица, 90А, Владимир, Россия, 600000",496.5,1977.0,True,56.132925,40.419184,-0.013949004711653756
11,GORKOGO 20                TAMBOV      ,"улица Максима Горького, 20, Тамбов, Россия",496.5,1992.0,True,52.718497,41.454511,-0.04843573940879664
12,KURASHOVA 28/1            YAKUTSK     ,"улица Курашова, 28/1, Якутск, Республика Саха (Якутия), Россия, 677000",496.5,1998.0,True,62.033258999999994,129.73638200000002,-0.06429329744918175
